번호,용어,설명
476,스톡통계,"각종 경제지표에는 스톡(stock) 통계와 플로우(flow) 통계가 있다. 이 중 스톡 통계란 스톡은 어떤 특정 시점에서의 존재량 또는 비축량을 말하며 플로우 통계란 일정기간중에 발생한 거래를 집계한 통계를 의미한다. 스톡에 속하는 통계로는 인구, 통화량, 자산 또는 재산, 외환보유액 등을 들 수 있고, 플로우인 통계로는 국민소득, 국제수지, 정부예산, 생산, 소비, 투자 등이 있다. 스톡 통계를 이용해 경제현상을 분석할 경우는 전체 통계량 중 특정 분야가 차지하는 구성비 등의 비율 분석이 널리 이용되며, 플로우 통계의 경우에는 플로우 통계량간의 증감률을 주로 보게 된다. "
477,시계열,"시간의 경과에 따라 연속적으로 관측된 관측값의 계열을 말하는 것으로써 동일한 시간간격으로 측정되는 것인데 측정한 시간에서만 취하는 시계열을 이산시계열(Discrete time series)이라 하며, 같은 시간 구간에 걸쳐 동시적으로, 또한 순서적으로 배열된 이러한 시계열의 특징은 연속적인 관측값이 대개 독립적이 아니며, 반드시 시간순서에 따라 관측값을 분석해야 한다는 점이다. 이 시계열은 대개 4개의 성분(추세, 계절, 순환, 불규칙성분)으로 분해한다."
478,시도내총생산,"시도내총생산은 지역내총생산(GRDP)의 일종으로서 일정기간(통상 1년)동안 16개 시도 지역 내에서 발생한 경제활동의 성과(부가가치)를 생산측면에서 파악한 통계. 지역소득에는 국민소득과 마찬가지로 주민개념과 지역개념의 2가지 개념이 있는데, 지역내개념의 지역내총생산은 국내총생산(GDP)에 대응하는 개념으로써 어느 지역에 거주하는 주민에 의한 것인지에 관계없이 해당 지역내에서 발생한 부가가치는 모두 계상된다"
479,시장가격,자발적인 구매자가 자발적인 판매자로부터 어떤 재화를 취득하는 대가로 지급한 화폐금액 즉 상품이 시장에서 실제로 거래되고 있는 가격을 말한다
480,시장실패,"시장의 불완전성이나 상품?서비스의 특성 등으로 ‘보이지 않는 손’이 제대로 작동하지 못하여 시장에 의한 자원 배분이 최선의 상태에 이르지 못하는 현상, 즉 효율적인 자원 배분이 이루어지지 못하는 상태를 시장실패라고 한다. 시장실패를 초래하는 대표적인 원인으로는 외부성, 불완전한 경쟁, 불완전한 정보 등을 들 수 있다.

외부성의 경우를 살펴보면, 사회 전체의 관점에서 계산된 비용 혹은 편익이 개인의 관점에서 파악된 비용 혹은 편익과 서로 다르기 때문에 효율적인 자원배분이 일어나지 않는다. 예컨대 자동차 생산기업은 환경오염과 같은 외부불경제를 발생시킨다. 하지만 자동차 생산기업은 생산활동과 관련된 의사결정을 할 때 사회에 해를 끼치는 환경오염의 비용은 고려하지 않고 단지 자동차를 생산하는데 직접적으로 필요한 비용만을 고려한다. 그러나 사실 정확한 자동차 생산 비용은 생산 비용에 환경오염의 비용을 합한 것과 같다. 따라서 이 경우에는 사회적으로 최적인 수준보다 자동차가 더 많이 생산된다.

독과점과 같이 시장의 기능장애로 나타나는 불완전경쟁의 경우도 시장실패의 한 예이다. 독점의 경우는 시장균형점이 아닌 독점기업이 자의적으로 설정하는 수준에서 상품의 가격과 생산량이 결정된다. 이 경우 일반적으로 가격은 효율적 가격보다 높게, 생산량은 효율적 생산량보다 적게 결정되므로 사회 전체적으로는 후생 손실이 발생한다.

또한 정보의 비대칭성 등 불완전한 정보로 인해 발생하는 역선택과 도덕적 해이도 시장실패의 대표적인 예이다. 국방서비스와 같은 공공재도 비용을 지불한 사람만 혜택을 누리게 할 수 있는 방법이 없으므로 비용을 지불하지 않고 공공재의 편익을 누리려는 무임승차자(free rider)가 발생하게 되므로 이윤을 목적으로 작동하는 시장에서는 효율적으로 생산?공급될 수 없다.

이처럼 시장기능이 제대로 작동하지 않는 시장실패가 나타날 경우 정부가 개입하여 시장실패를 보완할 필요가 있다."
481,시차적용수출입물가지수,수출입물가지수는 계약시점의 가격으로 작성되어 통관 시점의 가격과 차이가 있기 때문에 무역지수를 작성할 때는 수출입 계약과 통관 간의 시차를 조정하기 위해 통관시차를 반영한 시차적용 수출입물가지수를 사용한다.
482,식량공급량,"우리나라 국민이 일반적으로 식용으로 하는 모든 식품(FAO방식 분류)을 조사대상으로 하여 식량공급량을 산출한다.
· 총 공급량 = 생산량 + 수입량 + 이입량
· 식량공급량 = 총공급량 - (이월량 +수출량 +사료용 +종자용 +감모량 +식용가공량 +비식용가공량)"
483,신뢰도(신뢰성),"신뢰도는 여러 분야에서 사용되는데 다음과 같다.
1. 생물학적 분석에서는 자극의 추정값에 대한 신뢰구간 함수의 역수로 정의된다.
2. 심리학과 교육학적 실험의 인자분석(Factor analysis)에서의 결과에 대한 신뢰도는 표본간의 일정한 체계적인 영향(Permanent systematic effect)으로 기인된 부분을 나타낸다.
3. 공학에서의 신뢰도는 시스템(장비, 제품, 조직체 등)이 주어진 운용조건에서 일정한 기간동안 그 시스템의 목적을 성공적으로 수행할 확률을 말한다"
484,신용,"돈을 빌릴 때는 이자를 얼마나 치르고 언제까지 갚겠다고 약속을 한다. 이런 약속을 잘 지키는 것을 두고 우리는 신용이 있다고 표현한다. 신용은 일반용어로는 타인을 신뢰하는 것을 의미한다. 그런데 금융거래에서 신용은 한마디로 돈을 제때에 갚을 수 있는 능력을 말하는 것으로서 상대방이 상환 또는 지불할 수 있는 능력을 갖는다고 인정함으로써 물건이나 돈을 빌려 주거나 갚는 것을 연기하여 주는 일을 말한다.

은행에선 돈을 빌려주기에 앞서 대출을 신청한 사람이나 기업의 신용을 조사한다. 신용이 좋은 사람은 쉽게 돈을 빌릴 수 있지만 과거에 제때 돈을 갚지 않았다거나 현재 많은 돈을 빌려 쓰고 있어 돈을 갚을 능력이 의심스러운 사람은 돈을 빌리기가 힘들다.
또한 은행은 또 신용이 나쁜 사람에게 돈을 빌려줄 때에는 신용이 좋은 사람보다 높은 이자를 매긴다. 신용이 떨어지면 필요할 때 돈을 빌리지 못하거나 돈을 빌리더라도 남보다 높은 이자를 물어야 한다.

이와같이 은행은 고객의 신용상태를 점수로 산출하여 대출여부와 대출금액을 결정하는 신용평점제도를 운영하고 있어서 고객이 대출을 신청하는 경우 개인의 인적상황과 직장·소득현황·금융기관의 거래실적 등 신용과 관련된 모든 사항을 각각 가중치를 달리하여 평점을 내고 이에 따라 대출가능여부와 대출금액을 결정하고 있다."
485,신용위험,"계약상의 채무를 이행하지 못할 가능성을 의미하는 용어로 금융거래나 무역거래에서 많이 사용된다. 신용위험은 개인이나 기업뿐만 아니라 국가에도 적용된다. 신용위험이 높을 경우 자금조달시 높은 금리를 지급해야 하는 등 차입비용이 많아질 수 있으므로 신용위험을 줄이도록 노력할 필요가 있다.

돈을 빌리는 주체의 신용에 따라 적용되는 이자율이 달라지는 것은 개인, 기업, 국가에게 모두 똑같이 적용된다. 신용도가 좋은 기업, 다시 말해 신용위험이 낮은 기업은 돈을 빌릴 때 신용도가 나쁜, 즉 신용위험이 높은 기업보다 낮은 이자율이 적용된다. 국가의 경우에도 마찬가지여서 우리나라가 외국에서 돈을 빌려 올 때에도 우리나라의 신용도가 높으면 낮은 이자율로 돈을 빌릴 수 있으나 우리나라의 경제사정이 좋지 않거나 정치적으로 불안해지면 이자를 많이 주어야 돈을 빌릴 수 있다. 1990년대 말 외환위기시에는 우리나라의 국가신인도가 떨어지고 신용위험이 크게 증가하여 외국에서 돈을 빌리는 데 많은 이자를 지급하여야 했다."
486,실업,"실업이란 노동할 의욕과 능력을 가진 자가 자기의 능력에 상응한 노동의 기회를 얻지 못하고 있는 상태를 말한다. 그러므로 실업자는 일을 하고 싶고 일을 할 능력이 있는데도 일자리가 없어 일을 하지 못하는 사람을 말한다. 반면 일자리를 갖고 있는 사람은 취업자라고 한다. 실업과 취업을 구분하는 기준은 나라마다 조금씩 다르지만 우리나라에선 1주일에 돈을 벌기 위해 1시간 이상 일을 하면 취업자로, 그렇지 못하면 실업자로 분류하고 있다.

일을 하지 못하고 있다고 모두 실업자는 아니다. 열다섯 살이 안되면 일할 능력이 없는 것으로 보아 실업자로 보지 않는다. 열다섯 살이 넘어도 가정주부, 학교에 다니는 학생, 일을 할 수 없는 할아버지, 할머니와 군인이나 죄를 짓고 감옥에 가 있는 사람들은 실업자로 보지 않는다.

경제활동이 나빠져 불경기가 되면 소비가 줄고 기업의 매출이 감소하면서 기업은 생산을 줄이게 된다. 그래서 직장을 잃는 사람이 늘어나고 직장을 구하기가 어렵게 된다. 따라서 실업자가 늘어나는지 아니면 줄어드는지를 보면 경기가 좋은지 나쁜지를 어느 정도 판단할 수 있다"
487,실업률,경제활동인구에서 실업자가 차지하는 비율로서 실업자수를 경제활동인구수(취업자+실업자)로 나누어 산출한다
488,실업자,15세 이상 인구중 조사대상기간에 일할 의사와 능력을 가지고 있으면서도 전혀 일을 하지 못하였으며 일자리를 찾아 적극적으로 구직활동을 하였던 사람으로서 즉시 취업이 가능한 사람을 말한다. ·구직기간 1주기준 실업자: 구직활동여부 파악시 대상기간을 1주간으로 적용 ·구직기간 4주기준 실업자: 구직활동여부 파악시 대상기간을 4주간으로 적용
489,실제 사회부담금,"부담자에 따라 구분되는 고용주,피고용자,자영업자 및 비취업자의 실제사회부담금은 피고용자 및 자신의 사회적인 위험과 필요를 위해 보험기구에 지급하는 것이다"
490,실제 최종소비-일반정부,사회 전체 또는 일부에 제공되지만 이들 서비스의 실제 소비를 개별 가계나 가계 집단에 배분할 수 없는 집합소비용 서비스 가액으로 평가된다
